Date,TotalValue
2023-12-14,97126.46085484333
2023-12-15,97126.46085484333
2023-12-18,97126.46085484333
2023-12-19,97126.46085484333
2023-12-20,97126.46085484333
2023-12-21,97126.46085484333
2023-12-22,97126.46085484333
2023-12-25,97126.46085484333
2023-12-26,97126.46085484333
2023-12-27,97126.46085484333
2023-12-28,97126.46085484333
2023-12-29,97126.46085484333
2024-01-01,97126.46085484333
2024-01-02,97126.46085484333
2024-01-03,97126.46085484333
2024-01-04,97126.46085484333
2024-01-05,97126.46085484333
2024-01-08,97126.46085484333
2024-01-09,97126.46085484333
2024-01-10,97126.46085484333
2024-01-11,97126.46085484333
2024-01-12,97126.46085484333
2024-01-15,97126.46085484333
2024-01-16,97126.46085484333
2024-01-17,97126.46085484333
2024-01-18,97126.46085484333
2024-01-19,97126.46085484333
2024-01-22,97126.46085484333
2024-01-23,97126.46085484333
2024-01-24,97126.46085484333
2024-01-25,97126.46085484333
2024-01-26,97126.46085484333
2024-01-29,97126.46085484333
2024-01-30,97126.46085484333
2024-01-31,97126.46085484333
2024-02-01,97126.46085484333
2024-02-02,97126.46085484333
2024-02-05,97126.46085484333
2024-02-06,97029.43204320641
2024-02-07,97168.25228322716
2024-02-08,97335.77984250756
2024-02-09,97349.41205037803
2024-02-12,97538.62623418542
2024-02-13,97304.32669938775
2024-02-14,96732.25852597925
2024-02-15,96941.96409333915
2024-02-16,97318.99262918206
2024-02-19,97418.71449102135
2024-02-20,97332.62483705254
2024-02-21,97673.63462461205
2024-02-22,97739.15751947138
2024-02-23,97786.7733355877
2024-02-26,97735.98097814294
2024-02-27,98014.90284265253
2024-02-28,97959.63102353783
2024-02-29,97905.47906984063
2024-03-01,97599.75581086846
2024-03-04,97940.50716794701
2024-03-05,98053.20439351769
2024-03-06,98060.65580571862
2024-03-07,98453.97622979851
2024-03-08,98812.17544542333
2024-03-11,98812.17544542333
2024-03-12,98812.17544542333
2024-03-13,98812.17544542333
2024-03-14,98812.17544542333
2024-03-15,98812.17544542333
2024-03-18,98812.17544542333
2024-03-19,98812.17544542333
2024-03-20,98812.17544542333
2024-03-21,98812.17544542333
2024-03-22,98812.17544542333
2024-03-25,98812.17544542333
2024-03-26,98812.17544542333
2024-03-27,98812.17544542333
2024-03-28,98812.17544542333
2024-03-29,98812.17544542333
2024-04-01,98812.17544542333
2024-04-02,98713.46283482276
2024-04-03,99001.53345094882
2024-04-04,99643.19061027728
2024-04-05,99631.3105057355
2024-04-08,99570.87978945933
2024-04-09,99875.92668043337
2024-04-10,99835.79296933375
2024-04-11,98754.81305109225
2024-04-12,98618.15897034369
2024-04-15,97908.20216940604
2024-04-16,97688.68326352797
2024-04-17,97649.26192032061
2024-04-18,98089.96557699404
2024-04-19,97858.17202435696
2024-04-22,97987.50515507422
2024-04-23,97948.8838558074
2024-04-24,98411.25445591174
2024-04-25,98370.18918679915
2024-04-26,98643.56310533248
2024-04-29,98434.43381117545
2024-04-30,98515.65471039973
2024-05-01,98063.80523608885
2024-05-02,98569.52068256102
2024-05-03,98675.32375382147
2024-05-06,98905.67065166197
2024-05-07,98991.93292366229
2024-05-08,98835.49693452082
2024-05-09,98802.57457839213
2024-05-10,99154.21032952033
2024-05-13,99018.58644233904
2024-05-14,99231.2775759574
2024-05-15,99424.43886982165
2024-05-16,100016.16417991064
2024-05-17,100016.16417991064
2024-05-20,100016.16417991064
2024-05-21,100016.16417991064
2024-05-22,100016.16417991064
2024-05-23,100016.16417991064
2024-05-24,100016.16417991064
2024-05-27,100016.16417991064
2024-05-28,100016.16417991064
2024-05-29,100016.16417991064
2024-05-30,100016.16417991064
2024-05-31,100016.16417991064
2024-06-03,100016.16417991064
2024-06-04,100016.16417991064
2024-06-05,100016.16417991064
2024-06-06,100016.16417991064
2024-06-07,100016.16417991064
2024-06-10,100016.16417991064
2024-06-11,99916.24814089727
2024-06-12,99694.10228880835
2024-06-13,100370.02275976133
2024-06-14,99680.19327625226
2024-06-17,99339.88167628241
2024-06-18,99697.32227500867
2024-06-19,99712.31568154287
2024-06-20,99798.08239301633
2024-06-21,99379.24075159025
2024-06-24,99206.11393341016
2024-06-25,99623.49496253919
2024-06-26,99409.03945549918
2024-06-27,99135.1193235774
2024-06-28,99398.39469012212
2024-07-01,99647.01967271756
2024-07-02,99664.1376062293
2024-07-03,99769.12464770269
2024-07-04,100185.85282739591
2024-07-05,100347.22835573148
2024-07-08,100389.06019233202
2024-07-09,100389.06019233202
2024-07-10,100389.06019233202
2024-07-11,100389.06019233202
2024-07-12,100389.06019233202
2024-07-15,100389.06019233202
2024-07-16,100389.06019233202
2024-07-17,100389.06019233202
